    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1113TS278_4o      278     PEZYFoldings         0.968    0.969    2        A2       C2        2        0.04     186      0        90.3     89.00      91.60       0.908      0.836      0.91           2          334        0.03     1.33       0.89       4193.0     2554.7     1638.3     0.963     c3:12.30; c2:0.03
12  T1113TS278_2o      278     PEZYFoldings         0.966    0.966    2        A2       C2        2        0.07     184      0        89.7     87.90      91.60       0.914      0.814      0.90           2          334        0.02     1.40       1.05       4083.4     2389.4     1694.0     0.958     c3:12.42; c2:0.05
13  T1113TS423_2o      423     trComplex            0.966    0.967    2        A2       C2        2        0.04     182      0        89.5     85.30      94.00       0.922      0.795      0.87           2          334        0.05     1.60       1.19       3828.5     2203.5     1625.0     0.947     c3:12.45; c2:0.03
14  T1113TS239_1o      239s    Yang-Multimer        0.966    0.967    2        A2       C2        2        0.10     182      0        91.4     90.10      92.80       0.909      0.782      0.90           2          334        0.04     1.64       1.27       4114.2     2155.3     1958.8     0.944     c3:12.46; c2:0.07
15  T1113TS446_4o      446s    ColabFold            0.965    0.966    2        A2       C2        2        0.02     174      0        90.4     88.10      92.80       0.920      0.754      0.90           2          334        0.05     1.86       1.44       3987.7     2383.7     1604.0     0.930     c3:12.50; c2:0.02
16  T1113TS439_5o      439     Yang                 0.965    0.965    2        A2       C2        2        0.03     184      0        90.9     89.10      92.80       0.914      0.765      0.91           2          334        0.05     1.82       1.35       4020.0     2213.2     1806.8     0.932     c3:12.50; c2:0.02
17  T1113TS201_5o      201     UTMB                 0.965    0.965    2        A2       C2        2        0.07     180      0        90.1     88.00      92.20       0.918      0.749      0.89           2          334        0.05     1.87       1.43       3990.5     2508.9     1481.7     0.929     c3:12.51; c2:0.05
18  T1113TS187_3o      187     TRFold               0.965    0.965    2        A2       C2        2        0.05     183      0        90.6     88.60      92.80       0.923      0.750      0.89           2          334        0.05     1.91       1.41       3847.1     2025.7     1821.4     0.927     c3:12.54; c2:0.04
19  T1113TS423_3o      423     trComplex            0.965    0.965    2        A2       C2        2        0.05     183      0        90.6     88.60      92.80       0.923      0.750      0.89           2          334        0.05     1.91       1.41       3847.1     2025.7     1821.4     0.927     c3:12.54; c2:0.04
20  T1113TS439_3o      439     Yang                 0.965    0.966    2        A2       C2        2        0.69     173      0        91.7     90.60      92.80       0.900      0.890      0.91           2          334        0.02     0.93       0.72       4288.1     2462.7     1825.4     0.980     c3:12.06; c2:0.48
21  T1113TS446_3o      446s    ColabFold            0.965    0.966    2        A2       C2        2        0.02     172      0        89.0     86.40      91.60       0.914      0.773      0.90           2          334        0.05     1.69       1.30       3785.1     2095.5     1689.6     0.941     c3:12.46; c2:0.01
22  T1113TS461_3o      461     colabfold_human      0.965    0.966    2        A2       C2        2        0.02     172      0        89.0     86.40      91.60       0.914      0.773      0.90           2          334        0.05     1.69       1.30       3785.1     2095.5     1689.6     0.941     c3:12.46; c2:0.01
23  T1113TS461_4o      461     colabfold_human      0.965    0.966    2        A2       C2        2        0.02     174      0        90.4     88.10      92.80       0.920      0.754      0.90           2          334        0.05     1.86       1.44       3987.7     2383.7     1604.0     0.930     c3:12.50; c2:0.02
24  T1113TS494_1o      494     Venclovas            0.965    0.966    2        A2       C2        2        0.03     178      0        90.1     87.60      92.80       0.912      0.760      0.90           2          334        0.06     1.84       1.36       4121.5     2372.2     1749.3     0.932     c3:12.50; c2:0.02
25  T1113TS439_2o      439     Yang                 0.965    0.966    2        A2       C2        2        0.02     174      0        90.4     88.10      92.80       0.908      0.754      0.90           2          334        0.05     1.86       1.44       4037.3     2255.7     1781.6     0.930     c3:12.50; c2:0.02
26  T1113TS201_4o      201     UTMB                 0.965    0.966    2        A2       C2        2        0.04     180      0        90.4     88.10      92.80       0.915      0.745      0.91           2          334        0.05     1.95       1.45       3998.3     2155.3     1843.0     0.925     c3:12.53; c2:0.03
27  T1113TS439_1o      439     Yang                 0.965    0.965    2        A2       C2        2        0.04     184      0        91.4     90.60      92.20       0.906      0.757      0.90           2          334        0.05     1.84       1.39       4016.6     2272.0     1744.5     0.931     c3:12.51; c2:0.03
28  T1113TS119_2o      119     Kiharalab            0.964    0.964    2        A2       C2        2        0.02     179      0        90.8     90.00      91.60       0.917      0.752      0.90           2          334        0.06     1.87       1.42       4050.5     2463.7     1586.8     0.929     c3:12.50; c2:0.02
29  T1113TS201_2o      201     UTMB                 0.964    0.964    2        A2       C2        2        0.13     179      0        89.9     89.30      90.40       0.915      0.764      0.90           2          334        0.05     1.70       1.32       3959.4     2437.6     1521.8     0.940     c3:12.44; c2:0.09
30  T1113TS446_2o      446s    ColabFold            0.964    0.965    2        A2       C2        2        0.02     174      0        91.5     89.20      94.00       0.918      0.766      0.93           2          334        0.05     1.81       1.37       3930.7     2334.2     1596.5     0.933     c3:12.46; c2:0.01
31  T1113TS119_5o      119     Kiharalab            0.964    0.965    2        A2       C2        2        0.02     174      0        91.5     89.20      94.00       0.918      0.766      0.93           2          334        0.06     1.81       1.37       3939.0     2332.8     1606.1     0.933     c3:12.46; c2:0.01
32  T1113TS461_2o      461     colabfold_human      0.964    0.965    2        A2       C2        2        0.02     174      0        91.5     89.20      94.00       0.918      0.766      0.93           2          334        0.05     1.81       1.37       3930.7     2334.2     1596.5     0.933     c3:12.46; c2:0.01
33  T1113TS461_1o      461     colabfold_human      0.964    0.964    2        A2       C2        2        0.02     179      0        90.8     90.00      91.60       0.917      0.752      0.90           2          334        0.05     1.87       1.42       4048.8     2455.7     1593.0     0.929     c3:12.50; c2:0.02
34  T1113TS201_1o      201     UTMB                 0.964    0.965    2        A2       C2        2        0.05     181      0        89.8     87.50      92.20       0.917      0.753      0.90           2          334        0.06     1.87       1.40       4008.9     2339.4     1669.5     0.929     c3:12.48; c2:0.03
35  T1113TS446_1o      446s    ColabFold            0.964    0.964    2        A2       C2        2        0.02     179      0        90.8     90.00      91.60       0.917      0.752      0.90           2          334        0.05     1.87       1.42       4048.8     2455.7     1593.0     0.929     c3:12.50; c2:0.02
36  T1113TS350_1o      350     ClusPro              0.962    0.962    2        A2       C2        2        0.06     182      0        88.4     85.90      91.00       0.905      0.737      0.87           2          334        0.05     1.95       1.48       3174.3     1883.0     1291.3     0.924     c3:12.53; c2:0.04
37  T1113TS462_3o      462s    MultiFOLD            0.959    0.960    2        A2       C2        2        0.03     182      2        88.2     87.10      89.20       0.913      0.707      0.89           2          334        0.06     2.19       1.61       3934.2     2417.3     1516.9     0.908     c3:12.56; c2:0.02
38  T1113TS462_5o      462s    MultiFOLD            0.959    0.960    2        A2       C2        2        0.03     184      2        88.4     87.60      89.20       0.911      0.696      0.89           2          334        0.07     2.28       1.65       3823.1     2268.0     1555.1     0.902     c3:12.60; c2:0.02
39  T1113TS462_4o      462s    MultiFOLD            0.958    0.959    2        A2       C2        2        0.03     180      2        88.4     87.60      89.20       0.911      0.699      0.90           2          334        0.07     2.25       1.64       3822.8     2199.8     1622.9     0.905     c3:12.59; c2:0.02
40  T1113TS462_1o      462s    MultiFOLD            0.957    0.958    2        A2       C2        2        0.03     183      2        88.5     87.20      89.80       0.910      0.690      0.89           2          334        0.07     2.34       1.72       3789.1     2234.4     1554.6     0.898     c3:12.60; c2:0.02
41  T1113TS374_4o      374     Zheng                0.957    0.958    2        A2       C2        2        0.71     184      0        90.2     89.40      91.00       0.898      0.567      0.89           2          334        0.10     3.78       2.46       4118.6     2254.8     1863.7     0.796     c3:13.10; c2:0.46
42  T1113TS374_5o      374     Zheng                0.956    0.957    2        A2       C2        2        0.05     184      0        88.2     87.10      89.20       0.906      0.722      0.90           2          334        0.06     2.02       1.51       3966.0     2269.1     1696.8     0.919     c3:12.54; c2:0.03
43  T1113TS288_3o      288s    DFolding-server      0.956    0.958    2        A2       C2        2        0.09     184      0        89.0     88.20      89.80       0.877      0.591      0.87           2          334        0.10     3.49       1.87       4433.8     2486.0     1947.8     0.810     c3:12.58; c2:0.07
44  T1113TS462_2o      462s    MultiFOLD            0.954    0.956    2        A2       C2        2        0.05     186      2        87.6     86.10      89.20       0.904      0.702      0.91           2          334        0.06     2.22       1.63       3863.3     2226.0     1637.3     0.906     c3:12.55; c2:0.03
45  T1113TS185_1o      185     BAKER                0.953    0.954    2        A2       C2        2        0.01     172      0        88.4     88.10      88.60       0.895      0.648      0.88           2          334        0.07     2.62       2.03       4192.9     2583.5     1609.4     0.876     c3:12.79; c2:0.01
46  T1113TS169_1o      169     GuijunLab-Human      0.953    0.954    2        A2       C2        2        0.01     172      0        88.4     88.10      88.60       0.895      0.648      0.88           2          334        0.09     2.62       2.03       4169.0     2582.7     1586.3     0.876     c3:12.79; c2:0.01
47  T1113TS185_2o      185     BAKER                0.943    0.946    2        A2       C2        2        0.04     184      0        88.0     85.80      90.40       0.879      0.622      0.92           2          334        0.03     2.95       2.30       3988.9     2438.6     1550.3     0.853     c3:12.83; c2:0.03
48  T1113TS071_1o      071s    RaptorX-Multimer     0.942    0.943    2        A2       C2        2        0.06     189      2        86.7     87.70      85.60       0.873      0.676      0.91           2          334        0.07     2.26       1.87       4065.2     2291.7     1773.5     0.904     c3:12.56; c2:0.04
49  T1113TS185_3o      185     BAKER                0.941    0.944    2        A2       C2        2        0.06     185      0        88.0     86.20      89.80       0.873      0.626      0.91           2          334        0.06     2.90       2.27       4152.2     2625.8     1526.5     0.857     c3:12.80; c2:0.04
50  T1113TS073_1o      073s    DFolding-refine      0.941    0.941    2        A2       C2        2        0.17     175      0        88.4     85.90      91.00       0.821      0.728      0.90           2          334        0.05     2.14       1.68       3583.3     1388.5     2194.8     0.909     c3:12.41; c2:0.11
51  T1113TS073_2o      073s    DFolding-refine      0.940    0.940    2        A2       C2        2        0.16     167      0        86.4     85.40      87.40       0.811      0.692      0.88           2          334        0.07     2.42       1.73       3522.1     1306.4     2215.7     0.890     c3:12.60; c2:0.09
52  T1113TS073_5o      073s    DFolding-refine      0.939    0.939    2        A2       C2        2        0.11     184      0        87.6     84.40      91.00       0.826      0.755      0.90           2          334        0.03     1.85       1.51       3516.5     1229.8     2286.7     0.929     c3:12.31; c2:0.07
53  T1113TS071_5o      071s    RaptorX-Multimer     0.938    0.940    2        A2       C2        2        0.10     177      0        84.5     82.80      86.20       0.860      0.716      0.89           2          334        0.07     1.96       1.53       3944.4     2202.5     1741.9     0.927     c3:12.41; c2:0.07
54  T1113TS073_4o      073s    DFolding-refine      0.936    0.937    2        A2       C2        2        0.16     170      0        87.1     87.30      86.80       0.812      0.639      0.88           2          334        0.09     2.95       1.96       3779.0     1473.9     2305.1     0.852     c3:12.80; c2:0.12
55  T1113TS073_3o      073s    DFolding-refine      0.934    0.934    2        A2       C2        2        0.17     171      0        87.0     86.00      88.00       0.812      0.654      0.89           2          334        0.08     2.70       2.02       3549.9     1435.0     2115.0     0.868     c3:12.61; c2:0.10
56  T1113TS037_2o      037     Wallner              0.891    0.892    2        A2       C2        2        0.39     174      0        78.1     78.30      77.80       0.835      0.545      0.91           2          334        0.08     3.43       1.99       4332.0     2503.5     1828.5     0.815     c3:12.68; c2:0.27
57  T1113TS298_5o      298s    MUFold               0.889    0.890    2        A2       C2        2        0.06     179      0        75.0     72.90      77.20       0.867      0.654      0.87           2          334        0.08     2.25       1.73       4009.8     2400.6     1609.1     0.906     c3:12.68; c2:0.04
58  T1113TS461_5o      461     colabfold_human      0.888    0.889    2        A2       C2        2        0.03     168      0        77.8     75.00      80.80       0.865      0.629      0.89           2          334        0.09     2.60       1.99       4061.1     2315.7     1745.5     0.885     c3:12.76; c2:0.02
59  T1113TS446_5o      446s    ColabFold            0.888    0.889    2        A2       C2        2        0.03     168      0        77.8     75.00      80.80       0.865      0.629      0.89           2          334        0.09     2.60       1.99       4061.1     2315.7     1745.5     0.885     c3:12.76; c2:0.02
60  T1113TS298_2o      298s    MUFold               0.887    0.887    2        A2       C2        2        0.11     181      0        77.9     74.70      81.40       0.865      0.666      0.87           2          334        0.08     2.27       1.73       3801.0     2140.0     1661.0     0.906     c3:12.68; c2:0.07
61  T1113TS180_5o      180     McGuffin             0.886    0.887    2        A2       C2        2        0.03     170      0        77.3     76.20      78.40       0.852      0.600      0.87           2          334        0.09     2.80       2.16       3709.8     2055.1     1654.7     0.867     c3:12.84; c2:0.02
62  T1113TS350_2o      350     ClusPro              0.886    0.886    2        A2       C2        2        0.05     178      0        77.5     74.90      80.20       0.855      0.640      0.89           2          334        0.09     2.46       1.88       3213.7     1621.9     1591.7     0.892     c3:12.70; c2:0.03
63  T1113TS180_4o      180     McGuffin             0.885    0.886    2        A2       C2        2        0.04     170      0        76.3     75.40      77.20       0.852      0.605      0.88           2          334        0.09     2.73       2.11       3730.3     2092.0     1638.2     0.872     c3:12.81; c2:0.03
64  T1113TS288_2o      288s    DFolding-server      0.885    0.886    2        A2       C2        2        0.05     186      0        76.4     73.50      79.60       0.871      0.636      0.87           2          334        0.09     2.49       1.86       3914.0     2261.7     1652.3     0.892     c3:12.78; c2:0.03
65  T1113TS180_1o      180     McGuffin             0.882    0.883    2        A2       C2        2        0.03     175      0        78.7     76.70      80.80       0.851      0.607      0.90           2          334        0.09     2.80       2.19       3802.8     2214.3     1588.6     0.866     c3:12.85; c2:0.02
66  T1113TS248_3o      248     Manifold             0.879    0.880    2        A2       C2        2        0.06     186      0        75.8     70.80      81.40       0.841      0.560      0.86           2          334        0.16     3.49       2.42       3826.8     2272.6     1554.2     0.826     c3:13.06; c2:0.04
67  T1113TS147_5o      147     SHT                  0.877    0.879    2        A2       C2        2        0.09     166      0        76.0     72.70      79.60       0.823      0.657      0.85           2          334        0.08     2.23       1.77       3184.2     1754.7     1429.6     0.910     c3:12.63; c2:0.06
68  T1113TS444_4o      444     CoDock               0.877    0.880    2        A2       C2        2        0.29     167      0        81.6     85.10      78.40       0.862      0.689      0.89           2          334        0.07     1.93       1.74       4490.8     2647.1     1843.7     0.927     c3:12.63; c2:0.20
69  T1113TS131_4o      131s    Kiharalab_Server     0.876    0.877    2        A2       C2        2        0.12     164      0        80.4     82.40      78.40       0.876      0.708      0.89           2          334        0.05     1.77       1.49       4606.9     2581.8     2025.2     0.937     c3:12.47; c2:0.08
70  T1113TS185_5o      185     BAKER                0.875    0.876    2        A2       C2        2        0.05     194      0        79.7     76.40      83.20       0.835      0.526      0.85           2          334        0.04     3.90       2.95       4329.5     2546.4     1783.2     0.792     c3:13.07; c2:0.03
71  T1113TS180_2o      180     McGuffin             0.873    0.874    2        A2       C2        2        0.03     166      0        77.7     77.10      78.40       0.852      0.613      0.90           2          334        0.08     2.63       2.09       3714.1     2105.4     1608.7     0.879     c3:12.79; c2:0.02
72  T1113TS187_1o      187     TRFold               0.873    0.873    2        A2       C2        2        0.18     188      0        78.0     75.40      80.80       0.868      0.584      0.88           2          334        0.09     3.03       2.24       3243.3     1747.8     1495.5     0.850     c3:12.84; c2:0.13
73  T1113TS423_1o      423     trComplex            0.873    0.873    2        A2       C2        2        0.18     188      0        78.0     75.40      80.80       0.868      0.584      0.88           2          334        0.09     3.03       2.24       3243.3     1747.8     1495.5     0.850     c3:12.84; c2:0.13
74  T1113TS180_3o      180     McGuffin             0.873    0.874    2        A2       C2        2        0.03     168      0        78.0     77.50      78.40       0.852      0.610      0.89           2          334        0.08     2.69       2.11       3855.6     2237.2     1618.4     0.874     c3:12.82; c2:0.02
75  T1113TS390_5o      390s    NBIS-AF2-multimer    0.872    0.874    2        A2       C2        2        0.08     167      0        79.1     76.80      81.40       0.863      0.667      0.90           2          334        0.08     2.22       1.78       4281.5     2595.9     1685.6     0.910     c3:12.61; c2:0.05
76  T1113TS320_5o      320     Elofsson             0.872    0.874    2        A2       C2        2        0.08     167      0        79.1     76.80      81.40       0.863      0.667      0.90           2          334        0.08     2.22       1.78       4281.5     2595.9     1685.6     0.910     c3:12.61; c2:0.05
77  T1113TS150_5o      150     Grudinin             0.872    0.874    2        A2       C2        2        0.08     167      0        79.1     76.80      81.40       0.863      0.667      0.90           2          334        0.08     2.22       1.78       4301.6     2597.0     1704.5     0.910     c3:12.61; c2:0.05
78  T1113TS444_3o      444     CoDock               0.872    0.877    2        A2       C2        2        0.25     155      0        75.7     80.00      71.90       0.852      0.635      0.88           2          334        0.08     2.23       1.89       4530.7     2670.8     1859.9     0.905     c3:12.67; c2:0.18
79  T1113TS348_2o      348     Takeda-Shitaka_Lab   0.872    0.874    2        A2       C2        2        0.08     167      0        79.1     76.80      81.40       0.863      0.667      0.90           2          334        0.08     2.22       1.78       4254.3     2508.5     1745.8     0.910     c3:12.61; c2:0.05
80  T1113TS091_5o      091     UNRES                0.870    0.871    2        A2       C2        2        0.70     165      0        74.8     78.80      71.30       0.762      0.632      0.85           2          334        0.08     2.27       1.80       5405.1     2738.6     2666.5     0.906     c3:12.60; c2:0.48
81  T1113TS003_4o      003     MULTICOM_human       0.870    0.871    2        A2       C2        2        0.06     169      0        78.1     76.10      80.20       0.881      0.700      0.91           2          334        0.06     1.88       1.57       3766.1     2075.7     1690.3     0.930     c3:12.51; c2:0.03
82  T1113TS288_4o      288s    DFolding-server      0.870    0.871    2        A2       C2        2        0.05     175      0        79.0     79.00      79.00       0.886      0.684      0.90           2          334        0.07     2.04       1.63       4335.3     2458.8     1876.5     0.919     c3:12.59; c2:0.03
83  T1113TS086_1o      086s    MULTICOM_qa          0.870    0.871    2        A2       C2        2        0.06     169      0        78.1     76.10      80.20       0.881      0.700      0.91           2          334        0.06     1.88       1.57       3766.1     2075.7     1690.3     0.930     c3:12.51; c2:0.03
84  T1113TS158_1o      158s    MULTICOM_deep        0.870    0.871    2        A2       C2        2        0.06     169      0        78.1     76.10      80.20       0.881      0.700      0.91           2          334        0.06     1.88       1.57       3766.1     2075.7     1690.3     0.930     c3:12.51; c2:0.03
85  T1113TS158_2o      158s    MULTICOM_deep        0.867    0.868    2        A2       C2        2        0.06     169      0        77.5     74.90      80.20       0.884      0.701      0.91           2          334        0.06     1.89       1.56       4090.5     2168.8     1921.7     0.929     c3:12.54; c2:0.04
86  T1113TS003_5o      003     MULTICOM_human       0.867    0.868    2        A2       C2        2        0.06     169      0        77.5     74.90      80.20       0.884      0.701      0.91           2          334        0.06     1.89       1.56       4090.5     2168.8     1921.7     0.929     c3:12.54; c2:0.04
87  T1113TS086_4o      086s    MULTICOM_qa          0.867    0.868    2        A2       C2        2        0.06     169      0        77.5     74.90      80.20       0.884      0.701      0.91           2          334        0.06     1.89       1.56       4090.5     2168.8     1921.7     0.929     c3:12.54; c2:0.04
88  T1113TS086_3o      086s    MULTICOM_qa          0.866    0.867    2        A2       C2        2        0.07     169      0        78.1     77.20      79.00       0.884      0.703      0.90           2          334        0.06     1.83       1.55       3975.1     2158.3     1816.8     0.933     c3:12.50; c2:0.05
89  T1113TS158_3o      158s    MULTICOM_deep        0.866    0.867    2        A2       C2        2        0.07     169      0        78.1     77.20      79.00       0.884      0.703      0.90           2          334        0.06     1.83       1.55       3975.1     2158.3     1816.8     0.933     c3:12.50; c2:0.05
90  T1113TS367_1o      367     MULTICOM             0.865    0.866    2        A2       C2        2        0.04     170      0        77.6     76.30      79.00       0.885      0.681      0.90           2          334        0.07     2.04       1.60       4386.0     2322.3     2063.7     0.919     c3:12.60; c2:0.02
91  T1113TS239_4o      239s    Yang-Multimer        0.864    0.865    2        A2       C2        2        0.05     174      0        77.0     76.80      77.20       0.874      0.687      0.90           2          334        0.07     1.96       1.58       4464.7     2386.3     2078.3     0.924     c3:12.55; c2:0.04
92  T1113TS147_2o      147     SHT                  0.861    0.861    2        A2       C2        2        0.07     184      0        76.0     72.70      79.60       0.835      0.650      0.86           2          334        0.08     2.31       1.85       3447.9     1767.4     1680.5     0.901     c3:12.68; c2:0.04
93  T1113TS444_2o      444     CoDock               0.861    0.862    2        A2       C2        2        0.29     150      0        78.6     81.40      76.00       0.861      0.650      0.86           2          334        0.07     2.20       1.86       4618.8     2761.2     1857.5     0.909     c3:12.65; c2:0.21
94  T1113TS248_1o      248     Manifold             0.860    0.861    2        A2       C2        2        0.06     177      2        76.2     73.10      79.60       0.866      0.693      0.86           2          334        0.07     1.96       1.57       4379.0     2498.3     1880.7     0.924     c3:12.54; c2:0.02
95  T1113TS239_5o      239s    Yang-Multimer        0.859    0.860    2        A2       C2        2        0.06     170      0        76.2     77.60      74.90       0.877      0.649      0.87           2          334        0.07     2.24       1.80       4183.3     2151.3     2032.0     0.906     c3:12.65; c2:0.04
96  T1113TS390_2o      390s    NBIS-AF2-multimer    0.857    0.858    2        A2       C2        2        0.07     176      0        77.0     76.80      77.20       0.845      0.644      0.88           2          334        0.08     2.29       1.85       4130.4     2305.6     1824.8     0.902     c3:12.66; c2:0.05
97  T1113TS348_5o      348     Takeda-Shitaka_Lab   0.857    0.857    2        A2       C2        2        0.05     173      0        77.0     75.00      79.00       0.845      0.640      0.85           2          334        0.08     2.39       1.92       3971.7     2240.7     1731.0     0.896     c3:12.69; c2:0.03
98  T1113TS360_5o      360     MUFold_H             0.857    0.857    2        A2       C2        2        0.05     173      0        77.0     75.00      79.00       0.845      0.640      0.85           2          334        0.08     2.39       1.92       3999.1     2327.4     1671.7     0.896     c3:12.69; c2:0.03
99  T1113TS150_2o      150     Grudinin             0.857    0.858    2        A2       C2        2        0.07     176      0        77.0     76.80      77.20       0.845      0.644      0.88           2          334        0.07     2.29       1.85       4119.3     2303.1     1816.2     0.902     c3:12.66; c2:0.05
100 T1113TS320_2o      320     Elofsson             0.857    0.858    2        A2       C2        2        0.07     176      0        77.0     76.80      77.20       0.845      0.644      0.88           2          334        0.08     2.29       1.85       4130.4     2305.6     1824.8     0.902     c3:12.66; c2:0.05
101 T1113TS447_5o      447     DELCLAB              0.857    0.858    2        A2       C2        2        0.06     171      2        77.2     75.40      79.00       0.874      0.629      0.87           2          334        0.08     2.51       1.96       4011.1     2401.9     1609.1     0.887     c3:12.73; c2:0.03
102 T1113TS147_4o      147     SHT                  0.856    0.857    2        A2       C2        2        0.13     170      0        76.9     74.30      79.60       0.838      0.655      0.86           2          334        0.08     2.28       1.86       3471.5     1734.2     1737.2     0.902     c3:12.63; c2:0.08
103 T1113TS350_5o      350     ClusPro              0.855    0.856    2        A2       C2        2        0.11     173      0        76.8     72.70      81.40       0.855      0.687      0.86           2          334        0.07     2.00       1.63       3602.5     1998.5     1604.0     0.921     c3:12.57; c2:0.08
104 T1113TS360_3o      360     MUFold_H             0.855    0.856    2        A2       C2        2        0.08     170      0        76.1     75.00      77.20       0.837      0.646      0.88           2          334        0.08     2.30       1.84       4280.2     2421.6     1858.6     0.904     c3:12.63; c2:0.05
105 T1113TS037_1o      037     Wallner              0.855    0.856    2        A2       C2        2        0.19     179      0        78.0     76.40      79.60       0.875      0.666      0.90           2          334        0.08     2.17       1.67       4437.7     2562.5     1875.3     0.911     c3:12.60; c2:0.13
106 T1113TS150_3o      150     Grudinin             0.855    0.856    2        A2       C2        2        0.18     165      0        76.6     77.80      75.40       0.876      0.629      0.88           2          334        0.09     2.42       1.81       4360.1     2343.7     2016.4     0.895     c3:12.76; c2:0.12
107 T1113TS320_3o      320     Elofsson             0.855    0.856    2        A2       C2        2        0.18     165      0        76.6     77.80      75.40       0.876      0.629      0.88           2          334        0.10     2.42       1.81       4370.5     2346.3     2024.2     0.895     c3:12.76; c2:0.12
108 T1113TS390_3o      390s    NBIS-AF2-multimer    0.855    0.856    2        A2       C2        2        0.18     165      0        76.6     77.80      75.40       0.876      0.629      0.88           2          334        0.10     2.42       1.81       4370.5     2346.3     2024.2     0.895     c3:12.76; c2:0.12
109 T1113TS390_1o      390s    NBIS-AF2-multimer    0.854    0.855    2        A2       C2        2        0.11     178      0        75.9     73.60      78.40       0.863      0.668      0.86           2          334        0.08     2.11       1.73       4369.5     2595.8     1773.7     0.914     c3:12.60; c2:0.07
110 T1113TS150_1o      150     Grudinin             0.854    0.855    2        A2       C2        2        0.11     178      0        75.9     73.60      78.40       0.863      0.668      0.86           2          334        0.08     2.11       1.73       4369.5     2595.8     1773.7     0.914     c3:12.60; c2:0.07
111 T1113TS320_1o      320     Elofsson             0.854    0.855    2        A2       C2        2        0.11     178      0        75.9     73.60      78.40       0.863      0.668      0.86           2          334        0.08     2.11       1.73       4369.5     2595.8     1773.7     0.914     c3:12.60; c2:0.07
112 T1113TS147_3o      147     SHT                  0.854    0.855    2        A2       C2        2        0.20     169      0        74.1     72.80      75.40       0.846      0.628      0.81           2          334        0.09     2.44       1.84       3407.6     1582.0     1825.7     0.893     c3:12.76; c2:0.13
