    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1132TS180_1o      180     McGuffin             0.954    0.972    6        A6       D3        6        0.05     321      0        87.5     92.30      83.44       0.928      0.911      0.86           6          582        0.02     0.45       0.30       2165.2     1793.2     1521.9     0.997     d3:0.04; c6:26.92; c3:0.04; c3:26.31; c2:0.04; c2:0.04; c2:0.02
12  T1132TS035_3o      035s    Manifold-E           0.946    0.964    6        A6       D3        6        0.03     333      0        87.7     91.41      84.50       0.922      0.903      0.86           6          582        0.03     0.72       0.34       2197.2     1692.7     1654.5     0.992     d3:0.03; c6:27.09; c3:0.03; c3:26.52; c2:0.02; c2:0.02; c2:0.02
13  T1132TS003_5o      003     MULTICOM_human       0.946    0.966    6        A6       D3        6        0.04     329      0        88.0     87.55      88.77       0.926      0.917      0.86           6          582        0.02     0.61       0.33       2311.8     2042.1     1419.6     0.994     d3:0.04; c6:27.12; c3:0.04; c3:26.46; c2:0.02; c2:0.03; c2:0.04
14  T1132TS086_2o      086s    MULTICOM_qa          0.946    0.966    6        A6       D3        6        0.04     329      0        88.0     87.55      88.77       0.926      0.917      0.86           6          582        0.02     0.61       0.33       2311.8     2042.1     1419.6     0.994     d3:0.04; c6:27.12; c3:0.04; c3:26.46; c2:0.02; c2:0.03; c2:0.04
15  T1132TS158_2o      158s    MULTICOM_deep        0.946    0.966    6        A6       D3        6        0.04     329      0        88.0     87.55      88.77       0.926      0.917      0.86           6          582        0.02     0.61       0.33       2311.8     2042.1     1419.6     0.994     d3:0.04; c6:27.12; c3:0.04; c3:26.46; c2:0.02; c2:0.03; c2:0.04
16  T1132TS158_3o      158s    MULTICOM_deep        0.946    0.966    6        A6       D3        6        0.06     326      0        87.7     88.55      87.15       0.926      0.914      0.86           6          582        0.02     0.62       0.34       2342.9     2052.5     1440.3     0.994     d3:0.06; c6:27.13; c3:0.05; c3:26.47; c2:0.05; c2:0.03; c2:0.04
17  T1132TS086_3o      086s    MULTICOM_qa          0.946    0.966    6        A6       D3        6        0.06     326      0        87.7     88.55      87.15       0.926      0.914      0.86           6          582        0.02     0.62       0.34       2342.9     2052.5     1440.3     0.994     d3:0.06; c6:27.13; c3:0.05; c3:26.47; c2:0.05; c2:0.03; c2:0.04
18  T1132TS185_1o      185     BAKER                0.944    0.963    6        A6       D3        6        0.00     318      0        85.9     91.76      81.02       0.893      0.887      0.87           6          582        0.01     0.59       0.33       2194.8     2245.5     1099.2     0.994     d3:0.00; c6:27.10; c3:0.00; c3:26.33; c2:0.00; c2:0.00; c2:0.00
19  T1132TS187_2o      187     TRFold               0.944    0.962    6        A6       D3        6        0.13     344      0        89.1     89.29      89.31       0.930      0.907      0.89           6          582        0.04     0.72       0.29       1775.6     1684.1     1241.4     0.992     d3:0.12; c6:26.81; c3:0.11; c3:26.28; c2:0.08; c2:0.10; c2:0.07
20  T1132TS462_4o      462s    MultiFOLD            0.944    0.962    6        A6       D3        6        0.04     329      0        87.5     89.95      85.81       0.925      0.900      0.88           6          582        0.02     0.51       0.28       2277.7     2270.1     1157.5     0.995     d3:0.04; c6:27.00; c3:0.03; c3:26.37; c2:0.03; c2:0.02; c2:0.03
21  T1132TS423_2o      423     trComplex            0.944    0.962    6        A6       D3        6        0.13     344      0        89.1     89.29      89.31       0.930      0.907      0.89           6          582        0.04     0.72       0.29       1775.6     1684.1     1241.4     0.992     d3:0.12; c6:26.81; c3:0.11; c3:26.28; c2:0.08; c2:0.10; c2:0.07
22  T1132TS461_1o      461     colabfold_human      0.943    0.962    6        A6       D3        6        0.05     345      0        88.6     89.88      87.69       0.922      0.905      0.87           6          582        0.03     0.63       0.39       2011.3     1668.1     1493.1     0.994     d3:0.05; c6:26.89; c3:0.04; c3:26.31; c2:0.04; c2:0.02; c2:0.04
23  T1132TS446_1o      446s    ColabFold            0.943    0.962    6        A6       D3        6        0.05     345      0        88.6     89.88      87.69       0.922      0.905      0.87           6          582        0.03     0.63       0.39       2011.3     1668.1     1493.1     0.994     d3:0.05; c6:26.89; c3:0.04; c3:26.31; c2:0.04; c2:0.02; c2:0.04
24  T1132TS185_3o      185     BAKER                0.943    0.961    6        A6       D3        6        0.00     324      0        87.4     92.18      83.41       0.883      0.885      0.90           6          582        0.02     0.60       0.38       2457.8     2500.2     1107.6     0.994     d3:0.00; c6:26.93; c3:0.00; c3:26.20; c2:0.00; c2:0.00; c2:0.00
25  T1132TS035_4o      035s    Manifold-E           0.942    0.960    6        A6       D3        6        0.03     336      0        87.8     89.25      86.65       0.919      0.901      0.88           6          582        0.04     0.85       0.34       2324.0     1796.3     1677.6     0.989     d3:0.03; c6:27.06; c3:0.03; c3:26.52; c2:0.02; c2:0.02; c2:0.02
26  T1132TS462_5o      462s    MultiFOLD            0.942    0.960    6        A6       D3        6        0.05     335      0        86.5     89.13      84.75       0.918      0.890      0.87           6          582        0.02     0.56       0.28       2597.1     2361.7     1385.3     0.995     d3:0.05; c6:27.12; c3:0.05; c3:26.49; c2:0.03; c2:0.04; c2:0.04
27  T1132TS248_4o      248     Manifold             0.942    0.960    6        A6       D3        6        0.03     336      0        87.8     89.25      86.65       0.919      0.901      0.88           6          582        0.04     0.85       0.34       2324.0     1796.3     1677.6     0.989     d3:0.03; c6:27.06; c3:0.03; c3:26.52; c2:0.02; c2:0.02; c2:0.02
28  T1132TS239_2o      239s    Yang-Multimer        0.941    0.959    6        A6       D3        6        0.04     323      0        87.6     91.23      84.78       0.924      0.876      0.91           6          582        0.04     0.77       0.29       2344.9     2093.9     1400.9     0.991     d3:0.03; c6:26.88; c3:0.03; c3:26.34; c2:0.03; c2:0.02; c2:0.03
29  T1132TS071_2o      071s    RaptorX-Multimer     0.941    0.960    6        A6       D3        6        0.04     327      0        89.1     89.18      89.31       0.927      0.901      0.91           6          582        0.04     0.78       0.29       2531.1     2247.6     1433.4     0.991     d3:0.04; c6:26.90; c3:0.03; c3:26.35; c2:0.03; c2:0.03; c2:0.02
30  T1132TS185_2o      185     BAKER                0.940    0.957    6        A6       D3        6        0.00     344      0        89.8     93.93      86.35       0.892      0.894      0.90           6          582        0.01     0.62       0.44       2691.0     2905.4     935.5      0.993     d3:0.00; c6:27.15; c3:0.00; c3:26.37; c2:0.00; c2:0.00; c2:0.00
31  T1132TS035_5o      035s    Manifold-E           0.938    0.956    6        A6       D3        6        0.04     334      0        89.8     91.07      88.78       0.913      0.895      0.89           6          582        0.04     0.90       0.41       2826.8     2110.0     1866.7     0.988     d3:0.03; c6:26.95; c3:0.03; c3:26.42; c2:0.02; c2:0.02; c2:0.03
32  T1132TS248_5o      248     Manifold             0.938    0.956    6        A6       D3        6        0.04     334      0        89.8     91.07      88.78       0.913      0.895      0.89           6          582        0.04     0.90       0.41       2826.8     2110.0     1866.7     0.988     d3:0.03; c6:26.95; c3:0.03; c3:26.42; c2:0.02; c2:0.02; c2:0.03
33  T1132TS239_3o      239s    Yang-Multimer        0.938    0.959    6        A6       D3        6        0.04     329      0        89.7     90.97      88.77       0.922      0.900      0.90           6          582        0.04     0.75       0.34       2325.6     1848.5     1627.0     0.991     d3:0.03; c6:26.80; c3:0.03; c3:26.26; c2:0.03; c2:0.02; c2:0.03
34  T1132TS180_5o      180     McGuffin             0.938    0.955    6        A6       D3        6        0.04     315      0        85.9     89.97      82.60       0.913      0.866      0.87           6          582        0.05     0.84       0.31       2461.2     1911.7     1699.4     0.990     d3:0.04; c6:26.86; c3:0.04; c3:26.35; c2:0.03; c2:0.02; c2:0.03
35  T1132TS071_1o      071s    RaptorX-Multimer     0.937    0.956    6        A6       D3        6        0.03     320      0        89.3     90.96      87.98       0.922      0.886      0.90           6          582        0.05     0.89       0.29       2325.4     1969.8     1505.5     0.989     d3:0.03; c6:26.86; c3:0.03; c3:26.34; c2:0.03; c2:0.02; c2:0.02
36  T1132TS446_2o      446s    ColabFold            0.937    0.955    6        A6       D3        6        0.04     327      0        86.3     91.36      82.07       0.919      0.867      0.87           6          582        0.04     0.78       0.29       2427.6     2185.9     1391.6     0.991     d3:0.04; c6:26.85; c3:0.04; c3:26.32; c2:0.03; c2:0.02; c2:0.03
37  T1132TS239_1o      239s    Yang-Multimer        0.937    0.955    6        A6       D3        6        0.03     334      0        87.0     88.18      86.09       0.908      0.877      0.87           6          582        0.05     0.94       0.49       2103.8     1427.7     1826.0     0.986     d3:0.03; c6:26.88; c3:0.03; c3:26.36; c2:0.02; c2:0.02; c2:0.02
38  T1132TS461_2o      461     colabfold_human      0.937    0.955    6        A6       D3        6        0.04     327      0        86.3     91.36      82.07       0.919      0.867      0.87           6          582        0.04     0.78       0.29       2427.6     2185.9     1391.6     0.991     d3:0.04; c6:26.85; c3:0.04; c3:26.32; c2:0.03; c2:0.02; c2:0.03
39  T1132TS037_1o      037     Wallner              0.936    0.954    6        A6       D3        6        0.13     334      0        84.6     88.04      82.07       0.910      0.853      0.85           6          582        0.05     0.94       0.46       2005.9     1702.3     1453.5     0.987     d3:0.11; c6:26.84; c3:0.10; c3:26.33; c2:0.09; c2:0.09; c2:0.09
40  T1132TS461_3o      461     colabfold_human      0.935    0.953    6        A6       D3        6        0.04     316      0        87.6     90.43      85.29       0.916      0.872      0.89           6          582        0.04     0.79       0.32       2486.0     2273.4     1362.4     0.991     d3:0.03; c6:26.74; c3:0.03; c3:26.23; c2:0.03; c2:0.02; c2:0.03
41  T1132TS367_4o      367     MULTICOM             0.935    0.955    6        A6       D3        6        0.04     314      0        87.5     88.45      87.17       0.921      0.882      0.87           6          582        0.04     0.82       0.27       2623.1     2281.7     1491.4     0.990     d3:0.03; c6:26.77; c3:0.03; c3:26.26; c2:0.02; c2:0.02; c2:0.03
42  T1132TS446_3o      446s    ColabFold            0.935    0.953    6        A6       D3        6        0.04     316      0        87.6     90.43      85.29       0.916      0.872      0.89           6          582        0.04     0.79       0.32       2486.0     2273.4     1362.4     0.991     d3:0.03; c6:26.74; c3:0.03; c3:26.23; c2:0.03; c2:0.02; c2:0.03
43  T1132TS374_1o      374     Zheng                0.934    0.953    6        A6       D3        6        0.07     316      0        85.3     89.24      82.08       0.913      0.857      0.87           6          582        0.04     0.89       0.35       2585.8     2058.8     1676.9     0.988     d3:0.07; c6:26.95; c3:0.07; c3:26.41; c2:0.04; c2:0.06; c2:0.05
44  T1132TS125_1o      125s    UltraFold_Server     0.934    0.951    6        A6       D3        6        0.04     310      0        85.9     89.62      83.16       0.917      0.851      0.89           6          582        0.05     0.93       0.29       2401.0     2355.1     1195.8     0.988     d3:0.04; c6:26.83; c3:0.04; c3:26.33; c2:0.03; c2:0.03; c2:0.03
45  T1132TS071_4o      071s    RaptorX-Multimer     0.934    0.953    6        A6       D3        6        0.04     324      0        87.7     89.38      86.37       0.922      0.875      0.89           6          582        0.05     0.93       0.28       2583.7     2289.6     1444.0     0.987     d3:0.03; c6:26.86; c3:0.03; c3:26.35; c2:0.03; c2:0.03; c2:0.02
46  T1132TS071_3o      071s    RaptorX-Multimer     0.934    0.953    6        A6       D3        6        0.04     321      0        88.4     90.31      86.91       0.921      0.871      0.88           6          582        0.05     0.93       0.28       2479.2     2268.9     1360.3     0.987     d3:0.04; c6:26.85; c3:0.04; c3:26.34; c2:0.03; c2:0.03; c2:0.02
47  T1132TS054_1o      054     UltraFold            0.934    0.951    6        A6       D3        6        0.04     310      0        85.9     89.62      83.16       0.917      0.851      0.89           6          582        0.05     0.93       0.29       2401.0     2355.1     1195.8     0.988     d3:0.04; c6:26.83; c3:0.04; c3:26.33; c2:0.03; c2:0.03; c2:0.03
48  T1132TS399_1o      399     BeijingAIProtein     0.934    0.951    6        A6       D3        6        0.04     310      0        85.9     89.62      83.16       0.917      0.851      0.89           6          582        0.05     0.93       0.29       2401.0     2355.1     1195.8     0.988     d3:0.04; c6:26.83; c3:0.04; c3:26.33; c2:0.03; c2:0.03; c2:0.03
49  T1132TS169_3o      169     GuijunLab-Human      0.933    0.951    6        A6       D3        6        0.04     314      0        86.8     91.19      83.43       0.915      0.851      0.91           6          582        0.05     0.93       0.29       2644.6     2281.1     1513.4     0.988     d3:0.04; c6:26.90; c3:0.04; c3:26.38; c2:0.03; c2:0.03; c2:0.03
50  T1132TS054_2o      054     UltraFold            0.933    0.952    6        A6       D3        6        0.03     314      0        85.4     89.57      82.34       0.920      0.850      0.89           6          582        0.05     0.94       0.30       2299.1     2277.9     1171.1     0.987     d3:0.03; c6:26.82; c3:0.03; c3:26.31; c2:0.03; c2:0.02; c2:0.02
51  T1132TS187_1o      187     TRFold               0.933    0.948    6        A6       D3        6        0.44     347      0        83.3     83.12      84.21       0.879      0.844      0.83           6          582        0.05     0.99       0.53       1674.3     2272.5     551.6      0.985     d3:0.39; c6:26.27; c3:0.35; c3:25.84; c2:0.23; c2:0.36; c2:0.30
52  T1132TS298_2o      298s    MUFold               0.933    0.951    6        A6       D3        6        0.04     309      0        85.9     90.31      82.62       0.919      0.846      0.89           6          582        0.05     0.96       0.29       2549.7     2428.4     1271.2     0.987     d3:0.03; c6:26.84; c3:0.03; c3:26.33; c2:0.03; c2:0.02; c2:0.03
53  T1132TS399_2o      399     BeijingAIProtein     0.933    0.952    6        A6       D3        6        0.03     314      0        85.4     89.57      82.34       0.920      0.850      0.89           6          582        0.05     0.94       0.30       2299.1     2277.9     1171.1     0.987     d3:0.03; c6:26.82; c3:0.03; c3:26.31; c2:0.03; c2:0.02; c2:0.02
54  T1132TS248_1o      248     Manifold             0.933    0.952    6        A6       D3        6        0.03     326      0        85.0     87.81      82.88       0.908      0.850      0.87           6          582        0.05     0.97       0.48       2159.9     1670.7     1639.1     0.986     d3:0.03; c6:26.83; c3:0.02; c3:26.33; c2:0.02; c2:0.02; c2:0.02
55  T1132TS494_1o      494     Venclovas            0.933    0.953    6        A6       D3        6        0.09     320      0        86.2     89.21      84.23       0.922      0.853      0.89           6          582        0.05     0.90       0.26       2556.1     2411.9     1294.1     0.988     d3:0.08; c6:28.23; c3:0.08; c3:25.30; c2:0.07; c2:0.07; c2:0.03
56  T1132TS248_2o      248     Manifold             0.933    0.953    6        A6       D3        6        0.04     319      0        85.4     90.73      81.53       0.903      0.847      0.86           6          582        0.05     0.94       0.48       1917.1     1300.3     1766.8     0.986     d3:0.04; c6:26.86; c3:0.03; c3:26.34; c2:0.03; c2:0.03; c2:0.03
57  T1132TS158_1o      158s    MULTICOM_deep        0.933    0.952    6        A6       D3        6        0.03     321      0        83.9     87.58      81.27       0.908      0.845      0.86           6          582        0.05     0.96       0.47       2373.9     1874.0     1649.8     0.986     d3:0.03; c6:26.88; c3:0.02; c3:26.36; c2:0.02; c2:0.02; c2:0.02
58  T1132TS003_1o      003     MULTICOM_human       0.933    0.952    6        A6       D3        6        0.03     321      0        83.9     87.58      81.27       0.908      0.845      0.86           6          582        0.05     0.96       0.47       2373.9     1874.0     1649.8     0.986     d3:0.03; c6:26.88; c3:0.02; c3:26.36; c2:0.02; c2:0.02; c2:0.02
59  T1132TS086_1o      086s    MULTICOM_qa          0.933    0.952    6        A6       D3        6        0.03     321      0        83.9     87.58      81.27       0.908      0.845      0.86           6          582        0.05     0.96       0.47       2373.9     1874.0     1649.8     0.986     d3:0.03; c6:26.88; c3:0.02; c3:26.36; c2:0.02; c2:0.02; c2:0.02
60  T1132TS423_1o      423     trComplex            0.933    0.948    6        A6       D3        6        0.44     347      0        83.3     83.12      84.21       0.879      0.844      0.83           6          582        0.05     0.99       0.53       1674.3     2272.5     551.6      0.985     d3:0.39; c6:26.27; c3:0.35; c3:25.84; c2:0.23; c2:0.36; c2:0.30
61  T1132TS035_1o      035s    Manifold-E           0.933    0.952    6        A6       D3        6        0.03     326      0        85.0     87.81      82.88       0.908      0.850      0.87           6          582        0.05     0.97       0.48       2159.9     1670.7     1639.1     0.986     d3:0.03; c6:26.83; c3:0.02; c3:26.33; c2:0.02; c2:0.02; c2:0.02
62  T1132TS035_2o      035s    Manifold-E           0.933    0.953    6        A6       D3        6        0.04     319      0        85.4     90.73      81.53       0.903      0.847      0.86           6          582        0.05     0.94       0.48       1917.1     1300.3     1766.8     0.986     d3:0.04; c6:26.86; c3:0.03; c3:26.34; c2:0.03; c2:0.03; c2:0.03
63  T1132TS125_2o      125s    UltraFold_Server     0.933    0.952    6        A6       D3        6        0.03     314      0        85.4     89.57      82.34       0.920      0.850      0.89           6          582        0.05     0.94       0.30       2299.1     2277.9     1171.1     0.987     d3:0.03; c6:26.82; c3:0.03; c3:26.31; c2:0.03; c2:0.02; c2:0.02
64  T1132TS350_1o      350     ClusPro              0.933    0.954    6        A6       D3        6        0.03     314      0        84.9     90.74      80.20       0.899      0.845      0.90           6          582        0.05     0.91       0.28       841.8      921.9      1069.8     0.988     d3:0.03; c6:26.80; c3:0.03; c3:26.31; c2:0.02; c2:0.02; c2:0.02
65  T1132TS003_2o      003     MULTICOM_human       0.932    0.951    6        A6       D3        6        0.04     315      0        86.5     90.88      83.16       0.917      0.849      0.90           6          582        0.05     0.93       0.30       2187.7     1947.4     1390.2     0.987     d3:0.04; c6:26.80; c3:0.04; c3:26.30; c2:0.03; c2:0.03; c2:0.02
66  T1132TS071_5o      071s    RaptorX-Multimer     0.932    0.951    6        A6       D3        6        0.05     323      0        85.2     89.59      82.09       0.916      0.844      0.86           6          582        0.05     0.98       0.29       2626.5     2164.1     1612.3     0.986     d3:0.04; c6:26.85; c3:0.04; c3:26.36; c2:0.04; c2:0.02; c2:0.04
67  T1132TS098_5o      098s    GuijunLab-Assembly   0.932    0.951    6        A6       D3        6        0.05     315      0        84.8     89.11      81.54       0.910      0.846      0.86           6          582        0.05     0.95       0.40       3047.0     2753.1     1443.9     0.986     d3:0.05; c6:27.02; c3:0.05; c3:26.48; c2:0.04; c2:0.04; c2:0.03
68  T1132TS374_3o      374     Zheng                0.932    0.950    6        A6       D3        6        0.04     315      0        85.4     88.91      82.61       0.912      0.845      0.87           6          582        0.05     0.98       0.35       2555.0     2154.5     1550.4     0.986     d3:0.04; c6:26.77; c3:0.04; c3:26.29; c2:0.03; c2:0.03; c2:0.04
69  T1132TS158_5o      158s    MULTICOM_deep        0.932    0.951    6        A6       D3        6        0.04     315      0        86.5     90.88      83.16       0.917      0.849      0.90           6          582        0.05     0.93       0.30       2187.7     1947.4     1390.2     0.987     d3:0.04; c6:26.80; c3:0.04; c3:26.30; c2:0.03; c2:0.03; c2:0.02
70  T1132TS239_4o      239s    Yang-Multimer        0.932    0.951    6        A6       D3        6        0.04     317      0        86.1     90.15      83.17       0.915      0.847      0.90           6          582        0.05     0.92       0.28       2259.3     2084.2     1325.0     0.988     d3:0.03; c6:26.87; c3:0.03; c3:26.36; c2:0.03; c2:0.02; c2:0.03
71  T1132TS367_1o      367     MULTICOM             0.932    0.951    6        A6       D3        6        0.04     315      0        86.5     90.88      83.16       0.917      0.849      0.90           6          582        0.05     0.93       0.30       2187.7     1947.4     1390.2     0.987     d3:0.04; c6:26.80; c3:0.04; c3:26.30; c2:0.03; c2:0.03; c2:0.02
72  T1132TS367_3o      367     MULTICOM             0.932    0.950    6        A6       D3        6        0.04     315      0        86.8     91.19      83.43       0.917      0.849      0.91           6          582        0.05     0.94       0.30       2225.7     2069.1     1306.5     0.987     d3:0.03; c6:26.81; c3:0.03; c3:26.32; c2:0.03; c2:0.02; c2:0.02
73  T1132TS298_1o      298s    MUFold               0.932    0.950    6        A6       D3        6        0.04     310      0        85.3     90.79      81.01       0.917      0.845      0.89           6          582        0.05     0.94       0.29       2415.9     2373.4     1192.4     0.987     d3:0.04; c6:26.85; c3:0.04; c3:26.34; c2:0.03; c2:0.03; c2:0.03
74  T1132TS169_5o      169     GuijunLab-Human      0.932    0.951    6        A6       D3        6        0.05     315      0        84.8     89.11      81.54       0.910      0.846      0.86           6          582        0.05     0.95       0.40       3047.0     2753.1     1443.9     0.986     d3:0.05; c6:27.02; c3:0.05; c3:26.48; c2:0.04; c2:0.04; c2:0.03
75  T1132TS003_4o      003     MULTICOM_human       0.932    0.951    6        A6       D3        6        0.03     320      0        84.2     88.01      81.53       0.907      0.844      0.86           6          582        0.05     0.95       0.45       2241.7     1677.4     1714.1     0.986     d3:0.03; c6:26.85; c3:0.03; c3:26.34; c2:0.02; c2:0.02; c2:0.02
76  T1132TS367_2o      367     MULTICOM             0.931    0.950    6        A6       D3        6        0.04     309      0        84.8     88.31      82.34       0.918      0.849      0.88           6          582        0.05     0.95       0.30       2377.6     2363.6     1163.9     0.987     d3:0.04; c6:26.84; c3:0.03; c3:26.34; c2:0.03; c2:0.03; c2:0.02
77  T1132TS125_5o      125s    UltraFold_Server     0.931    0.950    6        A6       D3        6        0.04     315      0        86.3     91.10      82.63       0.912      0.843      0.90           6          582        0.05     1.00       0.31       2579.8     2307.7     1422.0     0.986     d3:0.04; c6:26.84; c3:0.03; c3:26.35; c2:0.03; c2:0.02; c2:0.03
78  T1132TS003_3o      003     MULTICOM_human       0.931    0.949    6        A6       D3        6        0.03     325      0        84.8     88.86      81.80       0.907      0.840      0.86           6          582        0.05     1.00       0.46       2054.5     1530.1     1674.3     0.985     d3:0.03; c6:26.83; c3:0.03; c3:26.33; c2:0.02; c2:0.02; c2:0.02
79  T1132TS054_5o      054     UltraFold            0.931    0.950    6        A6       D3        6        0.04     315      0        86.3     91.10      82.63       0.912      0.843      0.90           6          582        0.05     1.00       0.31       2579.8     2307.7     1422.0     0.986     d3:0.04; c6:26.84; c3:0.03; c3:26.35; c2:0.03; c2:0.02; c2:0.03
80  T1132TS399_5o      399     BeijingAIProtein     0.931    0.950    6        A6       D3        6        0.04     315      0        86.3     91.10      82.63       0.912      0.843      0.90           6          582        0.05     1.00       0.31       2579.8     2307.7     1422.0     0.986     d3:0.04; c6:26.84; c3:0.03; c3:26.35; c2:0.03; c2:0.02; c2:0.03
81  T1132TS125_4o      125s    UltraFold_Server     0.930    0.949    6        A6       D3        6        0.04     306      0        85.8     90.32      82.65       0.914      0.828      0.88           6          582        0.06     1.06       0.26       2561.0     2279.2     1431.6     0.984     d3:0.04; c6:26.83; c3:0.03; c3:26.33; c2:0.03; c2:0.03; c2:0.03
82  T1132TS399_4o      399     BeijingAIProtein     0.930    0.949    6        A6       D3        6        0.04     306      0        85.8     90.32      82.65       0.914      0.828      0.88           6          582        0.06     1.06       0.26       2561.0     2279.2     1431.6     0.984     d3:0.04; c6:26.83; c3:0.03; c3:26.33; c2:0.03; c2:0.03; c2:0.03
83  T1132TS188_3o      188s    GuijunLab-DeepDA     0.930    0.948    6        A6       D3        6        0.04     312      0        84.7     89.05      81.84       0.914      0.835      0.91           6          582        0.05     1.00       0.29       2447.8     2403.3     1194.3     0.986     d3:0.04; c6:26.85; c3:0.04; c3:26.35; c2:0.03; c2:0.03; c2:0.02
84  T1132TS054_4o      054     UltraFold            0.930    0.949    6        A6       D3        6        0.04     306      0        85.8     90.32      82.65       0.914      0.828      0.88           6          582        0.06     1.06       0.26       2561.0     2279.2     1431.6     0.984     d3:0.04; c6:26.83; c3:0.03; c3:26.33; c2:0.03; c2:0.03; c2:0.03
85  T1132TS205_5o      205     Zou                  0.929    0.941    6        A6       D3        6        2.38     333      0        84.5     84.54      85.04       0.765      0.811      0.85           6          582        0.04     1.65       0.58       3592.5     2278.6     2463.8     0.964     d3:2.17; c6:25.96; c3:1.89; c3:17.80; c2:1.82; c2:1.66; c2:1.64; c2:20.00
86  T1132TS446_5o      446s    ColabFold            0.929    0.949    6        A6       D3        6        0.06     305      0        84.2     88.40      81.29       0.909      0.838      0.84           6          582        0.05     0.93       0.33       2737.9     2499.7     1388.1     0.987     d3:0.05; c6:26.79; c3:0.04; c3:26.30; c2:0.05; c2:0.03; c2:0.04
