    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1124TS229_1o      229s    Yang-Server          0.928    0.952    2        A2       C2        2        0.08     363      3        88.8     89.50      88.10       0.832      0.782      0.87           2          720        0.03     1.96       1.00       3744.7     -890.9     4635.6     0.951     c3:15.46; c2:0.06
22  T1124TS158_2o      158s    MULTICOM_deep        0.915    0.944    2        A2       C2        2        0.03     358      0        87.5     87.30      87.80       0.871      0.768      0.82           2          720        0.03     1.61       1.15       4646.7     1587.1     3059.6     0.962     c3:16.49; c2:0.02
23  T1124TS158_5o      158s    MULTICOM_deep        0.915    0.944    2        A2       C2        2        0.07     352      0        86.4     87.50      85.40       0.870      0.759      0.83           2          720        0.03     1.62       1.14       4670.6     1619.9     3050.6     0.962     c3:16.50; c2:0.05
24  T1124TS086_1o      086s    MULTICOM_qa          0.915    0.944    2        A2       C2        2        0.03     358      0        87.7     87.50      87.80       0.870      0.768      0.83           2          720        0.03     1.61       1.15       4617.0     1541.8     3075.2     0.962     c3:16.49; c2:0.02
25  T1124TS003_3o      003     MULTICOM_human       0.915    0.944    2        A2       C2        2        0.03     358      0        87.7     87.50      87.80       0.870      0.768      0.83           2          720        0.03     1.61       1.15       4617.0     1541.8     3075.2     0.962     c3:16.49; c2:0.02
26  T1124TS367_2o      367     MULTICOM             0.915    0.938    2        A2       C2        2        0.05     347      4        88.9     87.40      90.50       0.858      0.762      0.83           2          720        0.02     1.71       1.43       4017.6     1517.8     2499.7     0.964     c3:15.42; c2:0.03
27  T1124TS086_5o      086s    MULTICOM_qa          0.914    0.944    2        A2       C2        2        0.05     352      0        86.3     87.20      85.40       0.870      0.759      0.82           2          720        0.03     1.62       1.15       4655.9     1626.7     3029.1     0.962     c3:16.51; c2:0.03
28  T1124TS288_3o      288s    DFolding-server      0.911    0.943    2        A2       C2        2        0.17     349      2        87.7     86.60      88.70       0.876      0.840      0.87           2          720        0.01     1.20       1.01       3705.3     1538.9     2166.4     0.974     c3:15.43; c2:0.12
29  T1124TS071_2o      071s    RaptorX-Multimer     0.909    0.936    2        A2       C2        2        0.08     343      2        86.8     83.80      89.90       0.839      0.736      0.87           2          720        0.04     2.20       1.37       5003.8     2200.2     2803.6     0.944     c3:15.42; c2:0.05
30  T1124TS298_2o      298s    MUFold               0.908    0.936    2        A2       C2        2        0.24     354      4        87.4     84.20      90.90       0.866      0.784      0.85           2          720        0.03     1.73       1.29       4055.2     1770.5     2284.6     0.961     c3:15.38; c2:0.17
31  T1124TS367_4o      367     MULTICOM             0.907    0.934    2        A2       C2        2        0.21     345      2        88.8     88.00      89.60       0.841      0.749      0.86           2          720        0.01     1.92       1.36       4327.5     1825.7     2501.8     0.955     c3:15.39; c2:0.15
32  T1124TS338_2o      338     Convex-PL            0.906    0.936    2        A2       C2        2        0.00     348      4        85.8     83.10      88.70       0.856      0.767      0.86           2          720        0.03     1.88       1.33       4649.2     1980.5     2668.8     0.956     c3:25.90; c2:0.00
33  T1124TS150_5o      150     Grudinin             0.906    0.936    2        A2       C2        2        0.00     348      4        85.8     83.10      88.70       0.856      0.767      0.86           2          720        0.03     1.88       1.33       4651.7     1974.7     2677.0     0.956     c3:25.90; c2:0.00
34  T1124TS460_1o      460     Convex-PL-R          0.906    0.936    2        A2       C2        2        0.00     348      4        85.8     83.10      88.70       0.856      0.767      0.86           2          720        0.03     1.88       1.33       4649.2     1980.5     2668.8     0.956     c3:25.90; c2:0.00
35  T1124TS352_1o      352     KORP-PL              0.906    0.936    2        A2       C2        2        0.00     348      4        85.8     83.10      88.70       0.856      0.767      0.86           2          720        0.03     1.88       1.33       4649.2     1980.5     2668.8     0.956     c3:25.90; c2:0.00
36  T1124TS073_3o      073s    DFolding-refine      0.906    0.938    2        A2       C2        2        0.29     342      0        85.6     84.10      87.20       0.832      0.835      0.87           2          720        0.01     1.20       1.00       3630.9     1481.7     2149.3     0.974     c3:15.43; c2:0.21
37  T1124TS320_3o      320     Elofsson             0.898    0.936    2        A2       C2        2        0.12     355      2        86.6     83.80      89.60       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4435.8     2034.5     2401.4     0.950     c3:15.37; c2:0.08
38  T1124TS390_3o      390s    NBIS-AF2-multimer    0.898    0.936    2        A2       C2        2        0.12     355      2        86.6     83.80      89.60       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4435.8     2034.5     2401.4     0.950     c3:15.37; c2:0.08
39  T1124TS150_3o      150     Grudinin             0.897    0.936    2        A2       C2        2        0.00     354      2        86.3     83.50      89.30       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4430.5     2037.0     2393.5     0.950     c3:25.50; c2:0.00
40  T1124TS460_5o      460     Convex-PL-R          0.897    0.936    2        A2       C2        2        0.00     354      2        86.3     83.50      89.30       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4433.6     2042.9     2390.7     0.950     c3:21.06; c2:0.00
41  T1124TS352_5o      352     KORP-PL              0.897    0.936    2        A2       C2        2        0.00     354      2        86.3     83.50      89.30       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4433.6     2042.9     2390.7     0.950     c3:21.06; c2:0.00
42  T1124TS003_2o      003     MULTICOM_human       0.897    0.922    2        A2       C2        2        0.15     345      4        85.8     81.80      90.20       0.860      0.746      0.85           2          720        0.04     2.04       1.41       4463.8     2023.7     2440.1     0.950     c3:15.37; c2:0.10
43  T1124TS338_5o      338     Convex-PL            0.897    0.936    2        A2       C2        2        0.00     354      2        86.3     83.50      89.30       0.853      0.745      0.84           2          720        0.04     2.05       1.34       4433.6     2042.9     2390.7     0.950     c3:21.06; c2:0.00
44  T1124TS348_5o      348     Takeda-Shitaka_Lab   0.895    0.917    2        A2       C2        2        0.13     343      4        85.3     81.80      89.00       0.851      0.722      0.83           2          720        0.04     2.32       1.44       4863.1     1977.5     2885.6     0.939     c3:15.40; c2:0.09
45  T1124TS071_4o      071s    RaptorX-Multimer     0.895    0.917    2        A2       C2        2        0.11     341      2        84.2     81.10      87.50       0.834      0.713      0.84           2          720        0.04     2.23       1.53       4897.7     2103.1     2794.6     0.943     c3:15.38; c2:0.08
46  T1124TS338_4o      338     Convex-PL            0.895    0.917    2        A2       C2        2        0.00     340      2        85.1     81.70      88.70       0.851      0.721      0.82           2          720        0.04     2.32       1.44       4893.1     2060.3     2832.8     0.939     c3:25.78; c2:0.00
47  T1124TS071_1o      071s    RaptorX-Multimer     0.895    0.915    2        A2       C2        2        0.10     336      2        84.7     82.40      87.20       0.838      0.723      0.85           2          720        0.04     2.17       1.52       5103.8     2201.7     2902.1     0.945     c3:15.42; c2:0.07
48  T1124TS150_4o      150     Grudinin             0.895    0.917    2        A2       C2        2        0.00     340      2        85.1     81.70      88.70       0.851      0.721      0.82           2          720        0.04     2.32       1.44       4894.8     2059.9     2834.9     0.939     c3:25.78; c2:0.00
49  T1124TS352_3o      352     KORP-PL              0.895    0.917    2        A2       C2        2        0.00     340      2        85.1     81.70      88.70       0.851      0.721      0.82           2          720        0.04     2.32       1.44       4893.1     2060.3     2832.8     0.939     c3:25.78; c2:0.00
50  T1124TS460_2o      460     Convex-PL-R          0.895    0.917    2        A2       C2        2        0.00     340      2        85.1     81.70      88.70       0.851      0.721      0.82           2          720        0.04     2.32       1.44       4893.1     2060.3     2832.8     0.939     c3:25.78; c2:0.00
51  T1124TS390_4o      390s    NBIS-AF2-multimer    0.895    0.917    2        A2       C2        2        0.13     343      4        85.3     81.80      89.00       0.851      0.722      0.83           2          720        0.04     2.32       1.44       4890.0     2065.1     2824.9     0.939     c3:15.40; c2:0.09
52  T1124TS320_4o      320     Elofsson             0.895    0.917    2        A2       C2        2        0.13     343      4        85.3     81.80      89.00       0.851      0.722      0.83           2          720        0.04     2.32       1.44       4890.0     2065.1     2824.9     0.939     c3:15.40; c2:0.09
53  T1124TS239_4o      239s    Yang-Multimer        0.893    0.954    2        A2       C2        2        0.25     374      4        85.4     82.60      88.40       0.833      0.789      0.82           2          720        0.03     1.94       0.96       3307.8     -1075.1    4382.9     0.954     c3:15.63; c2:0.18
54  T1124TS229_4o      229s    Yang-Server          0.893    0.954    2        A2       C2        2        0.25     374      4        85.4     82.60      88.40       0.833      0.789      0.82           2          720        0.03     1.94       0.96       3307.8     -1075.1    4382.9     0.954     c3:15.63; c2:0.18
55  T1124TS461_4o      461     colabfold_human      0.892    0.924    2        A2       C2        2        0.38     348      3        84.4     80.80      88.40       0.842      0.663      0.87           2          720        0.05     2.60       1.65       5190.1     2113.3     3076.7     0.916     c3:15.69; c2:0.27
56  T1124TS446_4o      446s    ColabFold            0.892    0.924    2        A2       C2        2        0.38     348      3        84.4     80.80      88.40       0.842      0.663      0.87           2          720        0.05     2.60       1.65       5190.1     2113.3     3076.7     0.916     c3:15.69; c2:0.27
57  T1124TS367_1o      367     MULTICOM             0.891    0.918    2        A2       C2        2        0.11     346      4        85.1     81.20      89.30       0.863      0.751      0.86           2          720        0.03     1.94       1.45       4577.2     2113.5     2463.7     0.954     c3:15.36; c2:0.07
58  T1124TS229_3o      229s    Yang-Server          0.890    0.919    2        A2       C2        2        0.08     343      4        82.9     82.30      83.50       0.818      0.676      0.83           2          720        0.04     2.37       1.77       4591.9     -283.8     4875.8     0.937     c3:15.39; c2:0.06
59  T1124TS122_3o      122     zax                  0.890    0.919    2        A2       C2        2        0.08     343      4        85.1     82.50      87.80       0.842      0.691      0.85           2          720        0.04     2.37       1.77       4675.0     2166.3     2508.7     0.937     c3:15.39; c2:0.06
60  T1124TS122_4o      122     zax                  0.890    0.919    2        A2       C2        2        0.08     343      4        85.0     82.30      87.80       0.842      0.691      0.85           2          720        0.04     2.37       1.77       4656.8     2158.1     2498.7     0.937     c3:15.39; c2:0.06
61  T1124TS446_1o      446s    ColabFold            0.890    0.919    2        A2       C2        2        0.08     343      4        85.0     82.30      87.80       0.848      0.691      0.85           2          720        0.04     2.37       1.77       4644.6     2142.5     2502.1     0.937     c3:15.39; c2:0.06
62  T1124TS122_5o      122     zax                  0.890    0.919    2        A2       C2        2        0.08     343      4        84.8     82.20      87.50       0.842      0.690      0.85           2          720        0.04     2.37       1.77       4658.6     2159.1     2499.6     0.937     c3:15.39; c2:0.06
63  T1124TS122_2o      122     zax                  0.890    0.919    2        A2       C2        2        0.08     343      4        85.1     82.50      87.80       0.842      0.691      0.85           2          720        0.04     2.37       1.77       4662.1     2157.8     2504.3     0.937     c3:15.39; c2:0.06
64  T1124TS122_1o      122     zax                  0.890    0.919    2        A2       C2        2        0.08     343      4        84.8     82.20      87.50       0.842      0.690      0.85           2          720        0.04     2.37       1.77       4688.2     2161.0     2527.2     0.937     c3:15.39; c2:0.06
65  T1124TS461_1o      461     colabfold_human      0.890    0.919    2        A2       C2        2        0.08     343      4        85.0     82.30      87.80       0.848      0.691      0.85           2          720        0.04     2.37       1.77       4644.6     2142.5     2502.1     0.937     c3:15.39; c2:0.06
66  T1124TS239_3o      239s    Yang-Multimer        0.890    0.919    2        A2       C2        2        0.08     343      4        82.9     82.30      83.50       0.818      0.676      0.83           2          720        0.04     2.37       1.77       4591.9     -283.8     4875.8     0.937     c3:15.39; c2:0.06
67  T1124TS298_3o      298s    MUFold               0.889    0.920    2        A2       C2        2        0.25     360      4        84.7     80.50      89.30       0.869      0.790      0.80           2          720        0.03     1.65       1.35       4307.1     1847.0     2460.2     0.962     c3:15.48; c2:0.16
68  T1124TS288_4o      288s    DFolding-server      0.889    0.921    2        A2       C2        2        0.76     351      3        85.7     82.10      89.60       0.853      0.693      0.86           2          720        0.04     2.29       1.61       5465.6     2136.3     3329.2     0.930     c3:15.30; c2:0.53
69  T1124TS348_1o      348     Takeda-Shitaka_Lab   0.889    0.916    2        A2       C2        2        1.90     351      3        84.3     80.70      88.10       0.850      0.729      0.81           2          720        0.04     2.06       1.63       4475.0     1924.2     2550.8     0.949     c3:15.37; c2:1.27
70  T1124TS288_5o      288s    DFolding-server      0.888    0.922    2        A2       C2        2        0.39     345      2        83.7     80.20      87.50       0.851      0.710      0.82           2          720        0.04     2.31       1.62       4817.2     1879.0     2938.2     0.938     c3:15.49; c2:0.27
71  T1124TS304_1o      304     Manifold-X           0.887    0.921    2        A2       C2        2        0.01     340      1        84.9     81.10      89.00       0.832      0.637      0.85           2          720        0.05     2.73       1.67       5326.9     2377.3     2949.6     0.912     c3:16.43; c2:0.00
72  T1124TS304_2o      304     Manifold-X           0.887    0.918    2        A2       C2        2        0.29     339      2        84.1     80.10      88.40       0.831      0.630      0.84           2          720        0.07     2.90       1.70       5871.5     2833.3     3038.2     0.902     c3:15.66; c2:0.16
73  T1124TS248_2o      248     Manifold             0.887    0.918    2        A2       C2        2        0.29     339      2        84.1     80.10      88.40       0.831      0.630      0.84           2          720        0.07     2.90       1.70       5871.5     2833.3     3038.2     0.902     c3:15.66; c2:0.16
74  T1124TS248_1o      248     Manifold             0.887    0.921    2        A2       C2        2        0.01     340      1        84.9     81.10      89.00       0.832      0.637      0.85           2          720        0.05     2.73       1.67       5326.9     2377.3     2949.6     0.912     c3:16.43; c2:0.00
75  T1124TS071_5o      071s    RaptorX-Multimer     0.887    0.921    2        A2       C2        2        0.18     342      2        83.7     80.00      87.80       0.831      0.719      0.80           2          720        0.04     2.22       1.48       4542.3     1903.0     2639.2     0.943     c3:15.41; c2:0.11
76  T1124TS046_5o      046s    Manifold-LC-E        0.887    0.921    2        A2       C2        2        0.29     341      0        84.2     80.90      87.80       0.833      0.630      0.84           2          720        0.05     2.77       1.69       5943.2     2774.6     3168.6     0.910     c3:16.39; c2:0.20
77  T1124TS073_4o      073s    DFolding-refine      0.887    0.920    2        A2       C2        2        0.78     342      1        83.8     81.00      86.90       0.814      0.685      0.83           2          720        0.04     2.30       1.62       5602.3     2433.0     3169.2     0.930     c3:15.29; c2:0.55
78  T1124TS035_5o      035s    Manifold-E           0.887    0.921    2        A2       C2        2        0.29     341      0        84.2     80.90      87.80       0.833      0.630      0.84           2          720        0.05     2.77       1.69       5943.2     2774.6     3168.6     0.910     c3:16.39; c2:0.20
79  T1124TS098_1o      098s    GuijunLab-Assembly   0.886    0.931    2        A2       C2        2        1.12     361      2        85.4     81.80      89.30       0.871      0.807      0.88           2          720        0.02     1.42       1.30       4056.8     1707.7     2349.2     0.963     c3:16.27; c2:0.78
80  T1124TS188_2o      188s    GuijunLab-DeepDA     0.886    0.931    2        A2       C2        2        1.12     361      2        85.4     81.80      89.30       0.871      0.807      0.88           2          720        0.02     1.42       1.30       4056.8     1707.7     2349.2     0.963     c3:16.27; c2:0.78
81  T1124TS169_4o      169     GuijunLab-Human      0.886    0.931    2        A2       C2        2        1.12     361      2        85.4     81.80      89.30       0.871      0.807      0.88           2          720        0.02     1.42       1.30       4056.8     1707.7     2349.2     0.963     c3:16.27; c2:0.78
82  T1124TS169_3o      169     GuijunLab-Human      0.886    0.931    2        A2       C2        2        1.12     361      2        85.4     81.80      89.30       0.871      0.807      0.88           2          720        0.02     1.42       1.30       4056.8     1707.7     2349.2     0.963     c3:16.27; c2:0.78
83  T1124TS446_3o      446s    ColabFold            0.886    0.921    2        A2       C2        2        0.40     346      2        84.1     79.80      89.00       0.844      0.694      0.85           2          720        0.05     2.53       1.71       5134.5     2281.1     2853.4     0.930     c3:15.67; c2:0.28
84  T1124TS461_3o      461     colabfold_human      0.886    0.921    2        A2       C2        2        0.40     346      2        84.1     79.80      89.00       0.844      0.694      0.85           2          720        0.05     2.53       1.71       5134.5     2281.1     2853.4     0.930     c3:15.67; c2:0.28
85  T1124TS423_3o      423     trComplex            0.885    0.917    2        A2       C2        2        0.26     352      4        85.1     81.00      89.60       0.867      0.775      0.82           2          720        0.03     1.75       1.38       4376.5     1766.4     2610.1     0.959     c3:15.38; c2:0.18
86  T1124TS187_3o      187     TRFold               0.885    0.917    2        A2       C2        2        0.26     352      4        85.1     81.00      89.60       0.867      0.775      0.82           2          720        0.03     1.75       1.38       4376.5     1766.4     2610.1     0.959     c3:15.38; c2:0.18
87  T1124TS461_2o      461     colabfold_human      0.884    0.924    2        A2       C2        2        0.15     355      4        85.2     81.20      89.60       0.856      0.731      0.86           2          720        0.04     2.15       1.58       4462.2     2008.0     2454.2     0.944     c3:15.49; c2:0.10
88  T1124TS003_1o      003     MULTICOM_human       0.884    0.917    2        A2       C2        2        0.13     358      4        84.9     80.90      89.30       0.868      0.778      0.83           2          720        0.03     1.75       1.39       3972.6     1709.9     2262.7     0.960     c3:15.38; c2:0.09
89  T1124TS439_5o      439     Yang                 0.884    0.914    2        A2       C2        2        0.21     341      2        83.1     83.00      83.20       0.792      0.633      0.85           2          720        0.05     2.93       2.03       6050.5     64.0       5986.6     0.919     c3:15.69; c2:0.14
90  T1124TS446_2o      446s    ColabFold            0.884    0.924    2        A2       C2        2        0.15     355      4        85.2     81.20      89.60       0.856      0.731      0.86           2          720        0.04     2.15       1.58       4462.2     2008.0     2454.2     0.944     c3:15.49; c2:0.10
91  T1124TS367_3o      367     MULTICOM             0.884    0.917    2        A2       C2        2        0.13     358      4        84.9     80.90      89.30       0.868      0.778      0.83           2          720        0.03     1.75       1.39       3972.6     1709.9     2262.7     0.960     c3:15.38; c2:0.09
92  T1124TS460_4o      460     Convex-PL-R          0.883    0.920    2        A2       C2        2        0.00     359      4        84.1     80.10      88.40       0.860      0.764      0.80           2          720        0.03     1.80       1.41       4528.3     2001.7     2526.6     0.957     c3:15.52; c2:0.00
93  T1124TS248_3o      248     Manifold             0.883    0.912    2        A2       C2        2        0.02     347      0        81.0     79.10      82.90       0.840      0.630      0.77           2          720        0.04     2.91       2.12       4998.3     2491.4     2506.9     0.936     c3:15.24; c2:0.01
94  T1124TS338_3o      338     Convex-PL            0.883    0.920    2        A2       C2        2        0.00     359      4        84.1     80.10      88.40       0.860      0.764      0.80           2          720        0.03     1.80       1.41       4528.3     2001.7     2526.6     0.957     c3:15.52; c2:0.00
95  T1124TS320_2o      320     Elofsson             0.883    0.920    2        A2       C2        2        0.11     361      4        84.6     80.30      89.30       0.860      0.767      0.80           2          720        0.03     1.80       1.41       4499.8     1964.7     2535.2     0.958     c3:15.51; c2:0.07
96  T1124TS390_2o      390s    NBIS-AF2-multimer    0.883    0.920    2        A2       C2        2        0.11     361      4        84.6     80.30      89.30       0.860      0.767      0.80           2          720        0.03     1.80       1.41       4499.8     1964.7     2535.2     0.958     c3:15.51; c2:0.07
97  T1124TS360_1o      360     MUFold_H             0.883    0.914    2        A2       C2        2        0.75     366      4        84.6     80.10      89.60       0.868      0.760      0.82           2          720        0.03     1.69       1.40       4391.0     1508.0     2883.0     0.953     c3:15.98; c2:0.53
98  T1124TS390_5o      390s    NBIS-AF2-multimer    0.883    0.914    2        A2       C2        2        0.75     366      4        84.6     80.10      89.60       0.868      0.760      0.82           2          720        0.03     1.69       1.40       4391.0     1508.0     2883.0     0.953     c3:15.98; c2:0.53
99  T1124TS150_2o      150     Grudinin             0.883    0.920    2        A2       C2        2        0.00     359      4        84.1     80.10      88.40       0.860      0.764      0.80           2          720        0.03     1.80       1.41       4524.9     2006.7     2518.2     0.957     c3:25.75; c2:0.00
100 T1124TS046_3o      046s    Manifold-LC-E        0.883    0.913    2        A2       C2        2        0.06     348      2        81.0     79.10      82.90       0.842      0.630      0.78           2          720        0.04     2.90       2.12       5163.6     2772.0     2391.6     0.937     c3:15.24; c2:0.04
101 T1124TS035_3o      035s    Manifold-E           0.883    0.913    2        A2       C2        2        0.06     348      2        81.0     79.10      82.90       0.842      0.630      0.78           2          720        0.04     2.90       2.12       5163.6     2772.0     2391.6     0.937     c3:15.24; c2:0.04
102 T1124TS352_4o      352     KORP-PL              0.883    0.920    2        A2       C2        2        0.00     359      4        84.1     80.10      88.40       0.860      0.764      0.80           2          720        0.03     1.80       1.41       4528.3     2001.7     2526.6     0.957     c3:15.52; c2:0.00
103 T1124TS320_5o      320     Elofsson             0.883    0.914    2        A2       C2        2        0.75     366      4        84.6     80.10      89.60       0.868      0.760      0.82           2          720        0.03     1.69       1.40       4391.0     1508.0     2883.0     0.953     c3:15.98; c2:0.53
104 T1124TS304_3o      304     Manifold-X           0.883    0.912    2        A2       C2        2        0.02     347      0        81.0     79.10      82.90       0.840      0.630      0.77           2          720        0.04     2.91       2.12       4998.3     2491.4     2506.9     0.936     c3:15.24; c2:0.01
105 T1124TS091_4o      091     UNRES                0.882    0.923    2        A2       C2        2        0.65     364      2        81.5     81.00      82.00       0.806      0.745      0.81           2          720        0.03     1.80       1.46       5985.6     2843.1     3142.5     0.959     c3:15.47; c2:0.43
106 T1124TS037_5o      037     Wallner              0.882    0.913    2        A2       C2        2        0.38     362      2        84.7     80.30      89.60       0.869      0.784      0.82           2          720        0.03     1.67       1.38       4328.9     1806.7     2522.2     0.956     c3:15.64; c2:0.27
107 T1124TS385_1o      385     FoldEver-Hybrid      0.881    0.892    2        A2       C2        2        0.00     389      8        77.5     75.30      79.90       0.802      0.694      0.76           2          720        0.03     1.87       1.60       5029.4     1938.0     3091.5     0.957     c3:15.64; c2:0.00
108 T1124TS037_2o      037     Wallner              0.880    0.916    2        A2       C2        2        0.25     346      2        83.7     79.50      88.40       0.857      0.750      0.81           2          720        0.03     1.69       1.66       3554.4     1460.9     2093.5     0.965     c3:15.38; c2:0.18
109 T1124TS073_5o      073s    DFolding-refine      0.880    0.918    2        A2       C2        2        0.45     355      1        83.1     80.30      86.00       0.808      0.703      0.82           2          720        0.04     2.32       1.63       5379.8     2281.1     3098.7     0.938     c3:15.49; c2:0.32
110 T1124TS320_1o      320     Elofsson             0.880    0.918    2        A2       C2        2        0.08     356      2        84.8     79.50      90.90       0.861      0.760      0.82           2          720        0.03     1.90       1.46       4206.1     1817.8     2388.3     0.956     c3:15.37; c2:0.06
111 T1124TS423_5o      423     trComplex            0.880    0.949    2        A2       C2        2        0.78     374      0        83.7     79.30      88.70       0.844      0.817      0.81           2          720        0.02     1.47       1.06       -457.4     -295.2     -162.1     0.963     c3:15.26; c2:0.53
